member_id	start_date	DURATION	INT_MEAN	INT_PEAK	AUC	log_SEVERITY_1	log_SEVERITY_2	MV [D,I]	COMPINDX_k3_ss412	COMPINDX_k4_ss366	COMPINDX_k5_ss389
r10i1181p1f1	1852-07-06	6	1.024	1.197	0.767	2.775687975816727	2.5073652074576183	(6, 1.024)	1	1	1
r10i1181p1f1	1852-08-30	3	1.039	1.065	0.428	1.8561108427283792	1.1706083198612842	(3, 1.039)	1	1	1
r10i1181p1f1	1854-06-29	4	0.9	0.93	0.018	2.1041341542702074	0.13453089295760615	(4, 0.9)	1	1	1
r10i1181p1f1	1856-06-08	9	1.431	1.715	4.818	3.6797630254676545	4.875853596356426	(9, 1.431)	2	2	4
r10i1181p1f1	1856-06-20	4	1.463	1.667	2.267	2.54191690450478	2.951571377768221	(4, 1.463)	0	0	0
r10i1181p1f1	1859-08-04	9	1.036	1.238	1.261	3.3663298463330795	3.5566900178059817	(9, 1.036)	1	3	2
r10i1181p1f1	1860-06-15	4	0.963	1.039	0.27	2.1637826901135866	1.1505720275988207	(4, 0.963)	1	1	1
r10i1181p1f1	1863-06-22	3	1.161	1.364	0.795	1.950575387425793	1.6352891074723162	(3, 1.161)	0	3	3
r10i1181p1f1	1863-07-15	3	1.053	1.07	0.47	1.8674154154423224	1.2361083727856943	(3, 1.053)	1	1	1
r10i1181p1f1	1864-07-26	3	0.96	1.02	0.193	1.7898086218618807	0.6945748697177875	(3, 0.96)	1	1	1
r10i1181p1f1	1865-08-16	5	1.014	1.063	0.589	2.512591905636091	2.026201642535606	(5, 1.014)	1	1	1
r10i1181p1f1	1866-08-19	4	0.957	1.019	0.244	2.158252722104126	1.082482906738226	(4, 0.957)	1	1	1
r10i1181p1f1	1866-08-27	5	1.084	1.153	0.941	2.574098791753401	2.444145402913586	(5, 1.084)	1	1	1
r10i1181p1f1	1868-07-15	4	1.107	1.223	0.843	2.2880804067911638	2.046918349974276	(4, 1.107)	1	3	3
r10i1181p1f1	1869-07-31	4	1.271	1.47	1.501	2.4130525460200167	2.565564552805455	(4, 1.271)	0	0	3
r10i1181p1f1	1870-06-13	3	1.043	1.115	0.441	1.8593537818135162	1.1913443657207363	(3, 1.043)	1	1	1
r10i1181p1f1	1871-06-11	5	1.0	1.117	0.521	2.499823167269985	1.9205860526097789	(5, 1.0)	1	1	1
r10i1181p1f1	1871-07-16	3	1.0	1.12	0.313	1.823928522430647	0.9656124531448094	(3, 1.0)	1	1	1
r10i1181p1f1	1873-06-29	5	0.97	1.136	0.373	2.4718999018290106	1.6429242883567625	(5, 0.97)	1	1	1
r10i1181p1f1	1875-07-13	4	1.18	1.332	1.138	2.3456445824544927	2.31293138504819	(4, 1.18)	0	3	3
r10i1181p1f1	1876-07-23	3	0.943	0.994	0.141	1.7749475601565292	0.5496563521937489	(3, 0.943)	1	1	1
r10i1181p1f1	1876-08-11	3	1.171	1.296	0.825	1.9579367511104981	1.6652180182711651	(3, 1.171)	0	3	3
r10i1181p1f1	1876-08-28	3	0.959	1.032	0.188	1.7889405286417714	0.6815181524944838	(3, 0.959)	1	1	1
r10i1181p1f1	1878-07-02	4	1.17	1.296	1.095	2.337952236831337	2.278292400425001	(4, 1.17)	0	3	3
r10i1181p1f1	1879-06-19	7	1.335	1.609	3.074	3.247445633436049	4.059257423731344	(7, 1.335)	2	0	0
r10i1181p1f1	1880-08-21	4	1.09	1.286	0.778	2.2741856184723477	1.9774088161146843	(4, 1.09)	1	3	3
r10i1181p1f1	1883-07-10	11	1.224	1.549	3.606	3.8211139224750665	4.887014544101123	(11, 1.224)	2	2	4
r10i1181p1f1	1883-08-03	4	1.201	1.355	1.221	2.361608433443507	2.376578772902372	(4, 1.201)	0	3	3
r10i1181p1f1	1884-06-27	6	1.105	1.202	1.256	2.847239051445263	2.968327915962107	(6, 1.105)	1	3	3
r10i1181p1f1	1884-08-15	4	1.149	1.41	1.012	2.3216030988298075	2.207834756448235	(4, 1.149)	0	3	3
r10i1181p1f1	1886-06-23	4	0.965	1.07	0.275	2.1656192379208883	1.1631508098056809	(4, 0.965)	1	1	1
r10i1181p1f1	1889-05-30	5	1.362	1.651	2.33	2.786714909110079	3.297694100937281	(5, 1.362)	0	0	0
r10i1181p1f1	1889-06-23	3	0.968	1.015	0.217	1.7967263712524728	0.7549781688835332	(3, 0.968)	1	1	1
r10i1181p1f1	1890-07-08	4	1.15	1.302	1.017	2.322387720290225	2.2122226529136544	(4, 1.15)	0	3	3
r10i1181p1f1	1892-07-11	3	0.985	1.093	0.267	1.8112695923709663	0.8701934712653576	(3, 0.985)	1	1	1
r10i1181p1f1	1892-08-06	3	1.01	1.082	0.342	1.8322796497164289	1.0214015026319605	(3, 1.01)	1	1	1
r10i1181p1f1	1894-06-11	3	0.995	1.025	0.298	1.8197266593443935	0.9354866739845107	(3, 0.995)	1	1	1
r10i1181p1f1	1895-07-03	4	1.153	1.296	1.027	2.324737897635179	2.2209411039535354	(4, 1.153)	0	3	3
r10i1181p1f1	1895-08-19	3	0.954	0.98	0.174	1.7845887226446142	0.6440254852543897	(3, 0.954)	1	1	1
r10i1181p1f1	1896-06-04	10	0.989	1.1	0.929	3.4742906457638627	3.4137041602660583	(10, 0.989)	1	1	2
r10i1181p1f1	1898-06-20	15	1.128	1.372	3.484	4.197666173994787	5.3151848556	(15, 1.128)	2	2	2
r10i1181p1f1	1898-07-15	12	1.406	1.832	6.117	4.085073761687737	5.542356731559717	(12, 1.406)	2	2	4
r10i1181p1f1	1899-08-29	3	1.173	1.329	0.83	1.959402543353941	1.670120228745518	(3, 1.173)	0	3	3
r10i1181p1f1	1900-06-21	3	1.052	1.12	0.469	1.866612170346783	1.2345976845847308	(3, 1.052)	1	1	1
r10i1181p1f1	1902-06-07	8	1.104	1.19	1.665	3.25735273707622	3.6551843285865817	(8, 1.104)	0	3	2
r10i1181p1f1	1902-07-13	9	1.15	1.483	2.289	3.467297183366679	4.140002843033806	(9, 1.15)	0	3	2
r10i1181p1f1	1903-06-15	3	1.112	1.217	0.649	1.913699997788122	1.475289854816308	(3, 1.112)	1	1	3
r10i1181p1f1	1904-06-30	4	1.162	1.248	1.066	2.3317554702938255	2.2542348320529992	(4, 1.162)	0	3	3
r10i1181p1f1	1905-07-01	4	0.961	0.996	0.262	2.1619427631915795	1.1301109557274807	(4, 0.961)	1	1	1
r10i1181p1f1	1905-08-10	3	0.88	0.921	-0.047	1.7178642673569477	-0.2800038441267813	(3, 0.88)	1	1	1
r10i1181p1f1	1905-08-27	5	1.031	1.09	0.678	2.527880760764362	2.1494654332507044	(5, 1.031)	1	1	1
r10i1181p1f1	1906-06-06	10	1.141	1.361	2.456	3.6131205688668477	4.365205185751454	(10, 1.141)	0	3	2
r10i1181p1f1	1910-06-29	5	1.117	1.213	1.107	2.601832996690327	2.5935096221564495	(5, 1.117)	1	3	3
r10i1181p1f1	1910-08-01	4	0.986	1.053	0.362	2.184702052337329	1.3599503857802886	(4, 0.986)	1	1	1
r10i1181p1f1	1911-07-19	3	1.188	1.373	0.877	1.9703280309734539	1.7150630145343155	(3, 1.188)	0	3	3
r10i1181p1f1	1911-08-02	3	0.992	1.065	0.288	1.8171970405807354	0.9148865055054374	(3, 0.992)	1	1	1
r10i1181p1f1	1915-06-28	8	1.147	1.317	2.01	3.2941186238814852	3.839045954039108	(8, 1.147)	0	3	2
r10i1181p1f1	1915-08-14	5	1.277	1.529	1.908	2.726367676192942	3.106024590602897	(5, 1.277)	0	0	0
r10i1181p1f1	1918-07-28	3	1.017	1.064	0.363	1.83808421800981	1.0599419115922148	(3, 1.017)	1	1	1
r10i1181p1f1	1919-06-03	4	1.083	1.115	0.749	2.268407641192459	1.9447666383532343	(4, 1.083)	1	1	1
r10i1181p1f1	1919-08-19	4	1.012	1.103	0.465	2.207834756448235	1.551808799597464	(4, 1.012)	1	1	1
r10i1181p1f1	1920-08-17	4	1.129	1.283	0.932	2.305779983890565	2.1348762485679367	(4, 1.129)	1	3	3
r10i1181p1f1	1920-08-25	9	1.191	1.616	2.655	3.5012538557280757	4.286135035878288	(9, 1.191)	2	0	2
r10i1181p1f1	1921-06-04	11	1.109	1.424	2.344	3.72471718743697	4.460327675693779	(11, 1.109)	2	2	2
r10i1181p1f1	1922-07-04	4	1.124	1.228	0.912	2.3017847728232765	2.1157734709272265	(4, 1.124)	1	3	3
r10i1181p1f1	1924-05-31	3	1.471	1.688	1.725	2.156812245860361	2.2989146580986284	(3, 1.471)	0	0	0
r10i1181p1f1	1924-08-08	7	1.192	1.354	2.072	3.1387995706779805	3.673105116254159	(7, 1.192)	0	3	2
r10i1181p1f1	1926-06-25	5	1.219	1.388	1.615	2.682994534677954	2.947395074991464	(5, 1.219)	0	3	3
r10i1181p1f1	1927-07-03	8	1.403	1.733	4.058	3.4887889417842852	4.530684307428002	(8, 1.403)	2	2	0
r10i1181p1f1	1927-07-23	5	0.932	1.204	0.183	2.435372927072956	1.1138299765384703	(5, 0.932)	1	1	1
r10i1181p1f1	1927-08-06	4	1.094	1.142	0.792	2.2774723921789706	1.9927937349541638	(4, 1.094)	1	1	1
r10i1181p1f1	1927-08-14	3	1.078	1.185	0.545	1.8872896720494419	1.3433615650014081	(3, 1.078)	1	1	1
r10i1181p1f1	1929-06-01	3	1.01	1.091	0.342	1.8322796497164289	1.0214015026319605	(3, 1.01)	1	1	1
r10i1181p1f1	1930-06-10	3	1.021	1.07	0.375	1.841386049152454	1.0813159518954125	(3, 1.021)	1	1	1
r10i1181p1f1	1930-07-29	3	0.942	0.994	0.138	1.7740664640856596	0.5406187874748858	(3, 0.942)	1	1	1
r10i1181p1f1	1933-06-27	3	0.885	0.918	-0.031	1.7225156544887952	-0.1756407930008334	(3, 0.885)	1	1	1
r10i1181p1f1	1933-07-27	5	1.131	1.424	1.174	2.613370546077847	2.647997180368679	(5, 1.131)	0	3	3
r10i1181p1f1	1933-08-22	5	1.076	1.268	0.903	2.567257899875715	2.406570886811699	(5, 1.076)	1	3	3
r10i1181p1f1	1934-06-28	6	1.221	1.369	1.949	2.9415380310417527	3.3892709790855897	(6, 1.221)	0	3	3
r10i1181p1f1	1934-08-21	4	0.918	0.988	0.09	2.121542717698471	0.5423242908253616	(4, 0.918)	1	1	1
r10i1181p1f1	1935-06-27	5	1.19	1.429	1.473	2.660581476076026	2.8604073108315786	(5, 1.19)	0	3	3
r10i1181p1f1	1938-07-26	3	1.015	1.107	0.358	1.8364292051354612	1.0508994425482807	(3, 1.015)	1	1	1
r10i1181p1f1	1939-06-25	7	1.037	1.242	0.991	3.0059552784667165	2.962877252256471	(7, 1.037)	1	3	2
