member_id	start_date	DURATION	INT_MEAN	INT_PEAK	AUC	log_SEVERITY_1	log_SEVERITY_2	MV [D,I]	COMPINDX_k3_ss404	COMPINDX_k4_ss356	COMPINDX_k5_ss377
r10i1181p1f1	1851-06-16	4	1.286	1.38	0.981	2.423740214550513	2.180191444779979	(4, 1.286)	1	1	1
r10i1181p1f1	1852-08-03	5	1.379	1.879	1.691	2.798359333145824	2.991018920625303	(5, 1.379)	2	3	3
r10i1181p1f1	1852-08-21	4	1.872	2.476	3.321	2.771087596113514	3.316655679785574	(4, 1.872)	2	2	0
r10i1181p1f1	1853-06-14	7	1.504	1.82	3.237	3.3622649134624236	4.110055151372094	(7, 1.504)	2	2	2
r10i1181p1f1	1853-07-31	6	1.607	2.267	3.397	3.2034770743327283	3.930363779195889	(6, 1.607)	2	2	0
r10i1181p1f1	1854-07-13	4	1.332	1.445	1.163	2.4558210688929036	2.332532169361998	(4, 1.332)	1	1	1
r10i1181p1f1	1854-07-22	6	1.211	1.401	1.018	2.933750080680026	2.7701785293644865	(6, 1.211)	1	1	1
r10i1181p1f1	1855-07-05	4	1.39	1.542	1.395	2.4948569806411682	2.498151876538021	(4, 1.39)	1	3	3
r10i1181p1f1	1857-08-16	6	1.719	2.134	4.065	3.2682005968547645	4.106652751841267	(6, 1.719)	0	2	0
r10i1181p1f1	1859-08-11	3	1.318	1.509	0.832	2.060326112082957	1.672074403801572	(3, 1.318)	1	1	1
r10i1181p1f1	1860-07-21	7	1.21	1.366	1.185	3.153142504042932	3.1331657299468514	(7, 1.21)	1	1	1
r10i1181p1f1	1861-07-26	6	1.244	1.475	1.215	2.9592234348299713	2.9368725428478584	(6, 1.244)	1	1	1
r10i1181p1f1	1863-06-22	16	1.891	2.428	13.601	4.804217746697632	6.7701745560173725	(16, 1.891)	0	0	4
r10i1181p1f1	1864-08-17	7	1.353	1.566	2.182	3.2603213945414127	3.7235515090680606	(7, 1.353)	2	3	2
r10i1181p1f1	1865-06-15	3	1.181	1.291	0.418	1.9652443208753656	1.1543596911246021	(3, 1.181)	1	1	1
r10i1181p1f1	1866-08-25	5	1.208	1.291	0.836	2.6745520566054433	2.33667382792493	(5, 1.208)	1	1	1
r10i1181p1f1	1867-07-12	3	1.458	1.536	1.251	2.1489664653709726	2.014954576654025	(3, 1.458)	1	3	3
r10i1181p1f1	1867-08-18	4	1.504	1.772	1.85	2.567407871299744	2.760009940032921	(4, 1.504)	2	3	3
r10i1181p1f1	1869-08-11	5	1.604	2.121	2.815	2.940920437380773	3.4803984054748676	(5, 1.604)	2	2	0
r10i1181p1f1	1870-06-11	4	1.346	1.633	1.221	2.4653839832991364	2.376578772902372	(4, 1.346)	1	3	3
r10i1181p1f1	1870-06-18	4	1.226	1.475	0.738	2.3802866006578975	1.932100953781127	(4, 1.226)	1	1	1
r10i1181p1f1	1873-06-12	3	1.192	1.321	0.452	1.9732214466709417	1.2085605331056195	(3, 1.192)	1	1	1
r10i1181p1f1	1873-08-24	3	1.396	1.666	1.064	2.110677187487719	1.8762087885512986	(3, 1.396)	1	3	3
r10i1181p1f1	1874-07-16	4	1.199	1.292	0.629	2.3600989991946526	1.797078630705655	(4, 1.199)	1	1	1
r10i1181p1f1	1874-08-01	6	1.606	1.862	3.387	3.202879895880992	3.927473638339909	(6, 1.606)	2	2	0
r10i1181p1f1	1874-08-24	6	1.136	1.3	0.568	2.873322920357319	2.2351475517185753	(6, 1.136)	1	1	1
r10i1181p1f1	1875-07-06	4	1.325	1.549	1.136	2.451005098112319	2.3113465986626185	(4, 1.325)	1	3	3
r10i1181p1f1	1875-07-20	3	1.22	1.397	0.536	1.993244281711825	1.331082266299207	(3, 1.22)	1	1	1
r10i1181p1f1	1876-07-16	3	1.18	1.396	0.415	1.9645159622469717	1.1494331690364237	(3, 1.18)	1	1	1
r10i1181p1f1	1876-07-22	4	1.667	1.972	2.501	2.6627738562325747	3.0449033175604403	(4, 1.667)	2	2	0
r10i1181p1f1	1877-06-12	3	1.328	1.48	0.861	2.066924835692335	1.6999890104703193	(3, 1.328)	1	1	1
r10i1181p1f1	1880-06-08	4	1.367	1.475	1.301	2.479559043461405	2.43431486367194	(4, 1.367)	1	3	3
r10i1181p1f1	1882-07-25	7	1.289	1.408	1.738	3.2137673620518545	3.502194705941745	(7, 1.289)	1	3	1
r10i1181p1f1	1882-08-04	4	1.35	1.68	1.235	2.468099531471619	2.3869262414277967	(4, 1.35)	1	3	3
r10i1181p1f1	1884-06-21	10	1.436	1.715	3.949	3.837521572494653	4.8353159230793255	(10, 1.436)	0	0	2
r10i1181p1f1	1884-08-14	5	1.232	1.666	0.953	2.692880977408798	2.4557235961249573	(5, 1.232)	1	3	3
r10i1181p1f1	1885-07-16	4	1.47	1.971	1.714	2.546315277916644	2.68866348730202	(4, 1.47)	2	3	3
r10i1181p1f1	1885-07-31	7	1.379	1.45	2.365	3.278631830702987	3.802217357116722	(7, 1.379)	2	3	2
r10i1181p1f1	1887-08-28	4	1.576	1.946	2.139	2.6106578550935606	2.8965747020207724	(4, 1.576)	2	2	0
r10i1181p1f1	1890-06-14	7	1.241	1.439	1.401	3.1773719995882614	3.293867636032372	(7, 1.241)	1	1	1
r10i1181p1f1	1891-07-15	10	1.681	2.035	6.401	3.9919036224413404	5.315259991400934	(10, 1.681)	0	0	4
r10i1181p1f1	1892-06-23	12	1.588	2.072	6.56	4.204870519656299	5.612010983162458	(12, 1.588)	0	0	4
r10i1181p1f1	1892-07-10	5	1.448	1.802	2.036	2.844277332785745	3.1681369877280963	(5, 1.448)	2	3	3
r10i1181p1f1	1892-08-03	7	1.752	2.097	4.977	3.5099768683388226	4.534482986289338	(7, 1.752)	0	2	0
r10i1181p1f1	1896-08-05	3	1.147	1.238	0.316	1.9401775819371392	0.9715302127344428	(3, 1.147)	1	1	1
r10i1181p1f1	1896-08-27	3	1.439	1.733	1.194	2.137387677939668	1.9746650211180787	(3, 1.439)	2	3	3
r10i1181p1f1	1897-06-14	3	1.225	1.358	0.551	1.9967779789349385	1.3514647888571463	(3, 1.225)	1	1	1
r10i1181p1f1	1897-06-23	3	1.137	1.163	0.287	1.9326838233665247	0.9128029547713848	(3, 1.137)	1	1	1
r10i1181p1f1	1899-07-30	7	1.619	2.007	4.045	3.4334806119402606	4.329607026928167	(7, 1.619)	0	2	0
r10i1181p1f1	1899-08-08	5	1.321	1.496	1.398	2.7580605089354964	2.811215218179267	(5, 1.321)	1	3	3
r10i1181p1f1	1903-07-04	8	1.467	2.103	3.403	3.5320624943867274	4.356722929719506	(8, 1.467)	0	2	2
r10i1181p1f1	1903-08-10	3	1.619	2.039	1.732	2.2420461120737913	2.302558692258338	(3, 1.619)	2	2	0
r10i1181p1f1	1904-06-22	4	1.172	1.51	0.522	2.3394954470141425	1.6440325571985994	(4, 1.172)	1	1	1
r10i1181p1f1	1905-08-07	5	1.184	1.412	0.713	2.6558809039642464	2.1940620640571025	(5, 1.184)	1	1	1
r10i1181p1f1	1905-08-23	3	1.262	1.33	0.662	2.0225463169834965	1.4906212461277157	(3, 1.262)	1	1	1
r10i1181p1f1	1905-08-29	3	1.323	1.545	0.846	2.06363091677193	1.6856477362196745	(3, 1.323)	1	1	3
r10i1181p1f1	1906-08-22	6	1.47	1.96	2.574	3.118148980769016	3.6591910728566366	(6, 1.47)	2	2	0
