member_id	start_date	DURATION	INT_MEAN	INT_PEAK	AUC	log_SEVERITY_1	log_SEVERITY_2	MV [D,I]	COMPINDX_k3_ss404	COMPINDX_k4_ss355	COMPINDX_k5_ss372
r10i1181p1f1	1890-06-04	7	1.44	1.876	2.368	3.320318913176449	3.8034567732185303	(7, 1.44)	1	0	1
r10i1181p1f1	1890-07-04	3	1.296	1.547	0.583	2.0456538033324905	1.3936067757387784	(3, 1.296)	0	3	3
r10i1181p1f1	1891-05-31	4	1.439	1.733	1.352	2.526688183802955	2.4694545452290786	(4, 1.439)	0	0	0
r10i1181p1f1	1891-06-20	10	1.594	2.153	4.925	3.9397686289918403	5.054602256501619	(10, 1.594)	2	2	1
r10i1181p1f1	1892-06-22	3	1.296	1.516	0.585	2.0456538033324905	1.396182602739468	(3, 1.296)	0	3	3
r10i1181p1f1	1892-08-18	5	1.438	1.74	1.685	2.837751780240757	2.9876432812120073	(5, 1.438)	1	0	0
r10i1181p1f1	1896-07-01	4	1.504	1.646	1.61	2.567407871299744	2.6304489550786583	(4, 1.504)	1	0	0
r10i1181p1f1	1896-07-07	4	1.499	1.654	1.59	2.5643337834193223	2.6188546222977394	(4, 1.499)	1	0	0
r10i1181p1f1	1896-07-21	4	1.239	1.309	0.552	2.3898631011011062	1.689357535609974	(4, 1.239)	0	3	3
r10i1181p1f1	1896-08-15	3	1.448	1.508	1.04	2.1428890821423843	1.8569225639687479	(3, 1.448)	0	3	0
r10i1181p1f1	1897-06-28	6	1.266	1.421	0.986	2.9758521716519635	2.7402709148072124	(6, 1.266)	0	3	3
r10i1181p1f1	1899-08-04	5	1.721	2.15	3.097	3.007728280207955	3.5730620281437897	(5, 1.721)	1	1	4
r10i1181p1f1	1900-08-09	3	1.756	2.197	1.964	2.3149526637567823	2.4163818257315293	(3, 1.756)	1	1	4
r10i1181p1f1	1901-06-19	8	1.304	1.59	1.62	3.4179283604998796	3.6285033391110013	(8, 1.304)	0	0	1
r10i1181p1f1	1901-07-02	6	1.225	1.308	0.743	2.9446363075620363	2.4782030032518683	(6, 1.225)	0	3	3
r10i1181p1f1	1902-06-05	3	1.249	1.346	0.443	2.01356804665576	1.1944967045549193	(3, 1.249)	0	3	3
r10i1181p1f1	1902-07-10	3	1.469	1.835	1.104	2.1556092020796336	1.907548262098765	(3, 1.469)	1	0	0
r10i1181p1f1	1902-07-31	9	1.282	1.534	1.627	3.572738818979123	3.805083465990402	(9, 1.282)	0	0	1
r10i1181p1f1	1904-06-06	4	1.362	1.518	1.044	2.476202209157854	2.2355902241697674	(4, 1.362)	0	3	3
r10i1181p1f1	1906-07-23	5	1.248	1.351	0.736	2.704916240680952	2.2223214612818403	(5, 1.248)	0	3	3
r10i1181p1f1	1907-05-31	8	1.231	1.416	1.039	3.362260772730131	3.1990765570107036	(8, 1.231)	0	3	3
r10i1181p1f1	1907-06-17	7	1.762	2.002	4.622	3.5154987089980363	4.4613071818020416	(7, 1.762)	1	1	4
r10i1181p1f1	1907-06-27	5	1.235	1.256	0.667	2.6951486502583273	2.1350284017226397	(5, 1.235)	0	3	3
r10i1181p1f1	1907-08-25	4	1.483	1.922	1.527	2.5544327124366104	2.581428216778622	(4, 1.483)	1	0	0
r10i1181p1f1	1908-06-21	7	1.312	1.459	1.472	3.23074826928953	3.3415118305652642	(7, 1.312)	0	3	3
r10i1181p1f1	1909-08-27	3	1.248	1.381	0.44	2.0128740600650636	1.1897644619901993	(3, 1.248)	0	3	3
r10i1181p1f1	1910-07-16	6	1.433	1.736	1.99	3.0937983255630623	3.409393948799099	(6, 1.433)	1	0	0
r10i1181p1f1	1910-08-16	3	1.529	1.695	1.282	2.1910854440634067	2.0362035327569803	(3, 1.529)	1	0	0
r10i1181p1f1	1911-06-25	5	1.374	1.785	1.363	2.7949485553697855	2.78740364154172	(5, 1.374)	0	0	0
r10i1181p1f1	1912-08-21	3	1.29	1.421	0.567	2.041614618038424	1.3727577592551778	(3, 1.29)	0	3	3
r10i1181p1f1	1914-07-21	5	1.618	1.808	2.584	2.9491536339041073	3.3975239183934454	(5, 1.618)	1	0	0
r10i1181p1f1	1914-07-30	6	1.633	1.772	3.19	3.2188798448517035	3.8687654155201474	(6, 1.633)	1	0	0
r10i1181p1f1	1915-08-18	3	1.293	1.345	0.574	2.043636250061301	1.3819327357041902	(3, 1.293)	0	3	3
r10i1181p1f1	1916-07-18	6	1.609	1.901	3.047	3.2046703624335517	3.823881640662272	(6, 1.609)	1	0	4
r10i1181p1f1	1917-06-19	8	1.468	1.783	2.934	3.5327240038730916	4.210479447417602	(8, 1.468)	1	0	1
r10i1181p1f1	1919-06-16	4	1.461	1.582	1.437	2.5406566648924924	2.52540859309733	(4, 1.461)	0	0	0
r10i1181p1f1	1919-08-10	4	1.581	1.994	1.918	2.613592990749323	2.793860857515321	(4, 1.581)	1	0	0
r10i1181p1f1	1919-08-16	3	1.526	1.849	1.275	2.1893412069611182	2.0314446947383757	(3, 1.526)	1	0	0
r10i1181p1f1	1920-06-09	5	1.45	1.686	1.746	2.84557734887139	3.02144258487296	(5, 1.45)	1	0	0
r10i1181p1f1	1920-08-10	3	1.972	2.389	2.613	2.4200847620683534	2.679482418901275	(3, 1.972)	1	1	4
r10i1181p1f1	1920-08-17	6	1.485	2.218	2.302	3.127854393979432	3.5505466194881543	(6, 1.485)	1	0	4
r10i1181p1f1	1922-07-22	3	1.362	1.519	0.784	2.089040276042879	1.624086791642793	(3, 1.362)	0	3	3
r10i1181p1f1	1923-06-15	3	1.332	1.401	0.693	2.069552181132402	1.5262592457129922	(3, 1.332)	0	3	3
r10i1181p1f1	1923-07-12	5	1.298	1.441	0.985	2.741619150905877	2.485958994977389	(5, 1.298)	0	3	3
r10i1181p1f1	1924-08-20	3	1.789	2.022	2.063	2.33174737820807	2.4612679823726475	(3, 1.789)	1	1	4
r10i1181p1f1	1925-08-26	6	1.382	1.559	1.683	3.0592312990011097	3.2478498900726924	(6, 1.382)	0	0	0
r10i1181p1f1	1926-06-07	7	1.668	2.23	3.97	3.4623486822645395	4.311140395126035	(7, 1.668)	1	1	4
r10i1181p1f1	1926-07-03	4	1.63	1.966	2.114	2.641910398597665	2.8854708792964536	(4, 1.63)	1	0	0
r10i1181p1f1	1926-07-26	9	1.849	2.488	6.73	3.9303146879003124	5.207900196423574	(9, 1.849)	2	2	2
r10i1181p1f1	1927-06-20	3	1.325	1.436	0.67	2.0649497866137057	1.4999404342713294	(3, 1.325)	0	3	3
r10i1181p1f1	1927-06-29	3	1.418	1.688	0.95	2.1244321317676773	1.7810935906961989	(3, 1.418)	0	0	0
r10i1181p1f1	1929-07-11	4	1.424	2.014	1.29	2.5170511031145675	2.4265710727750367	(4, 1.424)	1	0	0
r10i1181p1f1	1933-07-16	3	1.462	1.576	1.081	2.151387114550056	1.8896482562540837	(3, 1.462)	0	3	0
r10i1181p1f1	1933-07-21	3	1.298	1.463	0.591	2.0469965809886865	1.4038705121021573	(3, 1.298)	0	3	3
r10i1181p1f1	1933-08-03	3	1.521	1.651	1.258	2.1864273672360484	2.0197923479787105	(3, 1.521)	0	0	0
r10i1181p1f1	1934-06-18	5	1.445	1.657	1.718	2.8423241343256467	3.0060698525220366	(5, 1.445)	0	0	0
r10i1181p1f1	1936-06-17	5	1.497	1.802	1.978	2.875651094840324	3.140469310790068	(5, 1.497)	1	0	0
r10i1181p1f1	1936-07-11	4	1.395	1.761	1.175	2.498151876538021	2.341805806147327	(4, 1.395)	0	0	0
r10i1181p1f1	1937-07-04	4	1.181	1.281	0.32	2.3464105725340754	1.269760544863939	(4, 1.181)	0	3	3
r10i1181p1f1	1938-06-04	8	1.287	1.535	1.486	3.4052387269604876	3.5445569508677615	(8, 1.287)	0	0	3
r10i1181p1f1	1938-07-06	5	1.901	2.423	3.997	3.10251395455389	3.8218317094218532	(5, 1.901)	1	1	4
r10i1181p1f1	1938-08-19	8	1.699	2.15	4.783	3.6748814749321523	4.69342769499442	(8, 1.699)	2	1	4
r10i1181p1f1	1941-07-26	3	1.802	2.165	2.101	2.3382868011014573	2.4779757062027974	(3, 1.802)	1	1	4
r10i1181p1f1	1942-06-19	5	1.398	1.745	1.481	2.811215218179267	2.8655144349484867	(5, 1.398)	0	0	0
r10i1181p1f1	1943-07-17	3	1.6	2.035	1.496	2.2315018821618717	2.1717294344688143	(3, 1.6)	1	0	0
r10i1181p1f1	1944-07-13	4	1.564	1.73	1.853	2.603578179505499	2.7615277748803564	(4, 1.564)	1	0	0
r10i1181p1f1	1945-08-15	3	1.354	1.392	0.759	2.083880472575465	1.5981503850765946	(3, 1.354)	0	3	3
r10i1181p1f1	1946-07-07	6	1.758	1.938	3.94	3.2897896482684614	4.0759418923577675	(6, 1.758)	1	1	4
r10i1181p1f1	1947-06-03	4	1.221	1.27	0.479	2.376578772902372	1.5752604606325138	(4, 1.221)	0	3	3
r10i1181p1f1	1948-07-14	4	1.431	1.888	1.318	2.521559967436036	2.4461658214715696	(4, 1.431)	1	0	0
r10i1181p1f1	1948-08-22	3	1.702	1.878	1.802	2.2868470393070943	2.3382868011014573	(3, 1.702)	1	0	0
r10i1181p1f1	1948-08-27	3	1.48	1.706	1.136	2.1622081038610697	1.9319313496243482	(3, 1.48)	0	0	0
r10i1181p1f1	1949-08-25	9	1.635	1.835	4.804	3.8098795317594427	4.872965827632276	(9, 1.635)	2	1	1
r10i1181p1f1	1950-07-31	4	1.506	1.671	1.62	2.5686348653187125	2.6361960973342264	(4, 1.506)	1	0	0
r10i1181p1f1	1952-06-18	4	1.328	1.489	0.908	2.453071926267982	2.1119087318173375	(4, 1.328)	0	3	3
r10i1181p1f1	1953-07-29	3	1.337	1.417	0.708	2.072826685323001	1.5430578920360207	(3, 1.337)	0	3	3
r10i1181p1f1	1954-06-04	13	1.55	2.136	5.84	4.2993493727410685	5.615801365203363	(13, 1.55)	2	2	2
r10i1181p1f1	1954-08-01	5	1.588	1.761	2.436	2.9314273113446543	3.340573250306239	(5, 1.588)	1	0	0
r10i1181p1f1	1955-06-21	4	1.579	1.711	1.913	2.6124199700869597	2.791410476480369	(4, 1.579)	1	0	0
r10i1181p1f1	1955-07-09	3	1.324	1.496	0.667	2.0642905691200095	1.4964559081980222	(3, 1.324)	0	3	3
r10i1181p1f1	1955-07-21	3	1.585	1.886	1.451	2.223098236388928	2.1447161783819926	(3, 1.585)	1	0	0
r10i1181p1f1	1955-08-19	6	1.942	2.664	5.047	3.3857945136334653	4.319824693485473	(6, 1.942)	2	1	4
r10i1181p1f1	1956-07-28	5	1.561	1.743	2.298	2.915200435179769	3.284379669736083	(5, 1.561)	1	0	0
r10i1181p1f1	1957-07-03	4	1.439	1.606	1.349	2.526688183802955	2.4674213354469807	(4, 1.439)	0	0	0
